Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
GY314,Earth and Ocean Sciences,422,,403,,402,425
GY318,Biopharmaceutical Chemistry,555,,509,,510,532
GY319,Mathematical Science,543,,476,,456,531
GY320,Physics (Degree options: Applied Astrophysics Biom,465,,402,,401,487
GY321,Genetics and Genomics,532,,508,,,
GY322,Agricultural Sciences,485,,,,,
GY350,Computer Science and Information Technology,495,,403,,425,466
GY401,Engineering (Undenominated),522,520,465,,444,499
GY402,Civil Engineering,533,521,455,,509,543
GY405,Mechanical Engineering,541,,454,,443,499
GY406,Electronic and Computer Engineering,555,,510,,509,547
GY408,Biomedical Engineering,554,,509,,519,543
GY410,Project and Construction Management,431,,403,,434,464
GY413,Energy Systems Engineering,509,,502,,532,589
GY414,Electrical and Electronic Engineering,433,,405,,454,487
GY501,Medicine (five year/six year course  HPAT required,737,737,728,,726,731
GY502,Occupational Therapy,601,,555,,532,543
GY503,Speech and Language Therapy,578,,543,,529,543
GY504,Podiatric Medicine,531,526,443,,434,463
GY515,General Nursing (Galway and Portiuncula),502,496,476,473,442,466
GY516,Mental Health Nursing,475,441,440,,388,413
GY517,Midwifery,520,509,495,,429,468 
LY108,Business - Accounting,312,,309,,318,399
LY118,Business,288,,290,,287,352
LY128,Marketing with Online Technologies,261,261,,,,
LY208,Law,300,290,300,,300,359
LY228,Sports and Exercise - Common Entry,290,,300,,278,330
LY408,Design - Common Entry,301,,320,,307,368
LY508,Fire Safety Engineering,283,,276,,270,299
LY518,Quantity Surveying,304,,301,,307,368
LY528,Construction Management,262,,271,,267,291
LY538,Architectural Technology,234,234,,,,
LY608,Mechanical Engineering,300,,300,,304,333
LY618,Electronic Engineering,321,,312,,307,339
LY708,Applied Computing,320,,306,,300,348
LY748,Computer Science,316,,317,317,,
LY818,Science - Common Entry,302,,303,,302,371
LY828,Agriculture - Common Entry,308,300,307,,300,342
LY908,General Nursing,429,,400,,383,390
LY918,Psychiatric Nursing,367,,357,,291,332
LY928,Intellectual Disability Nursing,357,,326,,288,299
LY968,Early Childhood Care  Health and Education,288,,303,,300,336
LY978,Health and Social Care - Common Entry,279,,280,,260,299
MI001,Contemporary and Applied Theatre Studies,209,,375,,345,381
MI002,Arts,280,,300,281,300,378
MI004,Education - Primary Teaching - International,589,,577,,,
MI005,Education - Primary Teaching,522,,495,,473,506
MI006,Education - Primary Teaching - Gaeltacht Applicant,485,,456,,442,473
MI007,Early Childhood Care and Education,409,,357,,366,402
MI008,Education and Psychology - Primary Teaching,590,,588,,543,555
MI009,Education  Business Studies and Accounting,434,,402,,392,420
MI010,Education  Business Studies and Religious Studies,370,,368,,326,355
MI011,Education  Gaeilge and Religious Studies,407,,409,,377,387
MI012,Education  Gaeilge and Business Studies,387,,401,,398,440
MI013,Education  Mathematics and Gaeilge,509,,444,,433,465
MI014,Education  Mathematics and Business Studies,476,,434,,,
CI110,Counselling and Psychotherapy,292,,310,,,
CI111,Counselling and Psychotherapy with Addiction Studi,290,,301,,,
CI112,Counselling and Psychotherapy with Youth Studies,325,,311,,,
LC110,Art and Design (Common Entry  portfolio),794,,740,,734,918
LC114,Fashion and Textiles for Product and Costume (port,914,,880,,900,988
LC115,Art and Design Teacher Education (LIT and UL  port,993,,942,,,
LC220,Digital Marketing,263,,262,,254,288
LC223,Law and Taxation,331,,307,,308,372
LC224,Accounting and Finance,300,,300,,299,382
LC225,Marketing and Management,298,,298,,298,337
LC226,Enterprise and Innovation,255,,234,234,216,298
LC233,Software Development,280,,272,,300,371
LC234,Immersive Digital Media and Spatial Computing,226,,225,,219,288
LC236,Internet Systems Development,260,,262,260,298,319
LC239,Computer Networks and Systems Management,317,,307,,335,347
LC241,Construction Management,326,,255,,276,303
LC242,Property Valuation and Management,308,,282,,292,328
LC243,Quantity Surveying,278,,294,,281,360
LC248,Built Environment (Common Entry),300,,288,,307,350
LC252,Civil Engineering Management,264,,270,,281,331
LC263,Medical Technology,391,,294,,282,359
LC265,Forensic and Pharmaceutical Sciences,498,,413,,335,368
LC266,Drug and Medicinal Product Analysis,252,,262,,236,299
LC275,Electrical Engineering,361,347,298,,288,340
LC288,Mechanical Engineering,378,369,347,346,307,360
LC289,Precision Engineering,261,,291,,280,369
LC292,Social Care Work,374,,367,,360,389
LC293,Business Studies with Travel and Tourism Managemen,271,264,307,,299,326
LC294,Business Studies with Event Management,279,,279,,271,300
LC295,Business Studies with Sports Management,262,,252,,263,298
LC297,Community and Addiction Studies,272,262,235,,217,269
LC320,Business,381,,346,,337,378
LC330,Business with Computing,328,308,297,,298,326
LC340,Interior Design,391,368,350,,298,349
LC362,Biotechnology and Biopharmaceutical Sciences,429,,413,,379,402
LC371,Creative Broadcast and Film Production,325,310,309,,298,339
LC372,Music Technology and Production,377,,325,,321,369
LC374,Renewable and Electrical Energy Engineering,337,319,318,,317,368
LC375,Industrial Automation and Robotic Systems,309,,317,,321,368
LC376,Electronic Engineering with Computer Systems,357,,318,,308,346
LC380,Automotive Engineering and Transport Management,298,,303,298,282,329
LC392,Business Studies in Beauty and Spa Management,328,317,236,,217,318
LC393,Early Childhood Education and Care,309,276,236,,260,309
LC402,Social Care Work,228,,225,,209,290
LC408,Environmental Science and Climate,279,,279,,262,346
LC416,Business,260,,274,,,
LC418,Computing - Games Design and Development,260,256,270,,271,318
LC422,Applied Strength and Conditioning,289,,298,,288,333
LC502,Game Art and Design (portfolio),841,,852,,838,950
LC517,Creative Media and Design,279,,234,,229,273
LC518,Digital Animation Production (portfolio),807,,808,,816,962
LC612,Social Care Work,309,,320,,319,338
LM002,Arts,360,360,348,,329,388
LM019,Social Sciences,451,,,,,
LM020,Law and Accounting,474,,465,,436,476
LM026,Performing Arts (audition format TBC),329,,303,,307,367
LM028,Criminal Justice,420,,418,,387,409
LM029,Law Plus,530,,490,,473,499
LM038,Psychology and Sociology,530,,500,,478,489
LM039,Journalism and Digital Communication,432,,402,,388,430
LM040,European Studies,409,,369,,350,462
